window,channel,owner,action,planning_target_not_forecast,unit,actual,cash_spend_usd,status,evidence_or_notes
D1-D3,readiness,Founder,Verify live audit and offer consistency,1 reviewed live report,reports,,,planned,
D1-D3,github,Founder,Review repo name description license and clean install,1 coherent public package,packages,,,planned,
D4-D7,discovery,Founder,Build qualified SaaS and agency company list,50,companies,,,planned,
D8-D14,discovery,Founder,Complete problem interviews,15,interviews,,,planned,
D8-D14,sales,Founder,Offer bounded sprint to qualified prospects,10,offers,,,planned,
D8-D21,sales,Founder,Secure paid pilot commitments,3,accounts,,,planned,
D15-D21,activation,Founder + customer,Complete live evidence reviews,5,teams,,,planned,
D19-D25,github,Founder,Collect external clean-install feedback,10,testers,,,planned,
D22-D25,producthunt,Founder,Review listing demo and support rehearsal,1,launch package,,,planned,
Launch +7d,producthunt,Founder,Complete attributed reports,20,reports,,,planned,
Launch +7d,producthunt,Founder,Have qualified conversations,5,conversations,,,planned,
Launch +30d,github,Founder,Measure authentic star growth,50,stars target,,,planned,
D31-D60,retention,Founder,Measure active teams completing review,10,teams,,,planned,
D31-D60,partners,Founder,Build recurring agency partners,2,partners,,,planned,
D61-D90,revenue,Founder,Reach paying accounts,10,accounts,,,planned,
